Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Flu,fever,cough,fatigue,headache,sore_throat
Flu,fever,body_ache,fatigue,cough,runny_nose
Flu,chills,fatigue,cough,headache,sneezing
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever
Common Cold,congestion,sneezing,sore_throat,fatigue,cough
Common Cold,runny_nose,cough,sore_throat,headache,congestion
Malaria,fever,chills,sweating,headache,nausea
Malaria,high_fever,chills,vomiting,fatigue,body_ache
Malaria,fever,sweating,nausea,headache,fatigue
Typhoid,high_fever,weakness,abdominal_pain,headache,loss_of_appetite
Typhoid,fever,nausea,abdominal_pain,fatigue,constipation
Typhoid,prolonged_fever,headache,weakness,vomiting,loss_of_appetite
Dengue,high_fever,severe_headache,joint_pain,rash,vomiting
Dengue,fever,rash,muscle_pain,fatigue,nausea
Dengue,high_fever,joint_pain,headache,rash,fatigue
Diabetes,frequent_urination,excessive_thirst,fatigue,blurred_vision,weight_loss
Diabetes,increased_hunger,fatigue,blurred_vision,slow_healing,frequent_urination
Diabetes,excessive_thirst,weight_loss,fatigue,numbness,frequent_urination
Hypertension,headache,dizziness,chest_pain,shortness_of_breath,fatigue
Hypertension,nosebleed,headache,fatigue,blurred_vision,dizziness
Hypertension,chest_pain,headache,shortness_of_breath,fatigue,nausea
Asthma,shortness_of_breath,wheezing,chest_tightness,cough,fatigue
Asthma,wheezing,cough,shortness_of_breath,chest_tightness,sleep_disturbance
Asthma,cough,wheezing,chest_tightness,shortness_of_breath,fatigue
Pneumonia,cough,fever,chills,shortness_of_breath,chest_pain
Pneumonia,high_fever,cough,fatigue,shortness_of_breath,nausea
Pneumonia,fever,chills,cough,chest_pain,fatigue
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath
COVID-19,fever,loss_of_smell,dry_cough,fatigue,headache
COVID-19,dry_cough,fever,fatigue,body_ache,loss_of_taste
Gastritis,abdominal_pain,nausea,vomiting,bloating,loss_of_appetite
Gastritis,stomach_pain,indigestion,bloating,nausea,heartburn
Gastritis,abdominal_pain,heartburn,nausea,vomiting,bloating
Migraine,severe_headache,nausea,vomiting,light_sensitivity,dizziness
Migraine,throbbing_headache,nausea,light_sensitivity,sound_sensitivity,fatigue
Migraine,severe_headache,vomiting,light_sensitivity,dizziness,fatigue
Anemia,fatigue,weakness,pale_skin,dizziness,shortness_of_breath
Anemia,tiredness,headache,pale_skin,weakness,cold_hands
Anemia,fatigue,dizziness,pale_skin,weakness,shortness_of_breath